cluster,Q3TW.1,Q3TW.2,Q3TW.3,Q3TW.4,Q3TW.5,Q3TW.6,Q3TW.7,Q3TW.8,Q3TW.9,Q3TW.10,Q3TW.11,Q3TW.12,Q3TW.13,Q3TW.14,Q3TW.15,Q3TW.16,Q3TW.17,Q3TW.18,Q3TW.19,Q3TW.20,Q3TW.21,Q3TW.22,Q3TW.23,Q3TW.24,Q3TW.25,Q3TW.26,Q3TW.27,Q3TW.28,Q3TW.29
1,0.09558823529411764,0.06372549019607843,0.08823529411764706,0.012254901960784314,0.058823529411764705,0.024509803921568627,0.03431372549019608,0.031862745098039214,0.07107843137254902,0.1053921568627451,0.031862745098039214,0.056372549019607844,0.022058823529411766,0.04656862745098039,0.01715686274509804,0.02696078431372549,0.051470588235294115,0.02696078431372549,0,0.061274509803921566,0,0.0784313725490196,0.01715686274509804,0.06372549019607843,0.0784313725490196,0.031862745098039214,0.0196078431372549,0.031862745098039214,0.08823529411764706
2,0.4721311475409836,0.6032786885245902,0.7311475409836066,0.32131147540983607,0.5606557377049181,0.29180327868852457,0.26885245901639343,0.3737704918032787,0.39672131147540984,0.3442622950819672,0.26885245901639343,0.4360655737704918,0.2983606557377049,0.46229508196721314,0.5311475409836065,0.5147540983606558,0.4098360655737705,0.42295081967213116,0.5180327868852459,0.43278688524590164,0.5737704918032787,0.5377049180327869,0.1180327868852459,0.5311475409836065,0.32786885245901637,0.16721311475409836,0.11147540983606558,0.29508196721311475,0.19344262295081968
3,0.08241758241758242,0.08241758241758242,0.054945054945054944,0.03296703296703297,0.04395604395604396,0.016483516483516484,0.016483516483516484,0.02197802197802198,0.054945054945054944,0.1043956043956044,0.02197802197802198,0.03296703296703297,0.027472527472527472,0.09340659340659341,0.03296703296703297,0.03296703296703297,0.06593406593406594,0.01098901098901099,0.5604395604395604,0.11538461538461539,0.6538461538461539,0.24725274725274726,0.01098901098901099,0.12637362637362637,0.07142857142857142,0.038461538461538464,0.016483516483516484,0.02197802197802198,0.06043956043956044
